RST Flag Count,Bwd Packet Length Std,Packet Length Std,Flow Duration,Flow IAT Max,Bwd Packet Length Mean,Packet Length Variance,Fwd Packets/s,Packet Length Max,Fwd Segment Size Avg,Subflow Fwd Bytes,Bwd Segment Size Avg,Average Packet Size,Flow Packets/s,Packet Length Mean,Label
0,0.0,60.04442799572108,242,238,138.0,3605.3333333333335,8264.462809917355,138,34.0,17,138.0,86.0,16528.92561983471,86.0,BENIGN
2,1039.2548416448938,1058.5773511193258,317140,41798,1465.8823529411768,1120586.0083028085,126.12726240776944,4230,22.675,9,1465.8823529411766,831.5054945054945,286.9395219776755,831.5054945054944,BENIGN
0,656.7841857617057,498.3687750024433,92842,28533,518.3333333333334,248371.435897436,75.39691088085134,1338,17.285714285714285,9,518.3333333333334,248.53846153846155,140.02283449300964,248.53846153846155,BENIGN
0,0.0,0.0,23606,23567,0.0,0.0,84.72422265525714,0,0.0,0,0.0,0.0,127.08633398288572,0.0,BENIGN
3,132.58252147247765,2169.621235997728,172983,138016,46.875,4707256.307692308,34.68548932554066,7240,1932.5,828,46.875,855.0,80.93280842626154,855.0,BENIGN
0,0.0,9.237604307034012,144,137,56.0,85.33333333333331,13888.888888888889,56,40.0,20,56.0,48.0,27777.777777777777,48.0,BENIGN
0,0.0,11.31370849898476,29683,29683,63.0,128.0,33.689317117542025,63,47.0,23,63.0,55.0,67.37863423508405,55.0,BENIGN
0,28.270125574535392,25.435479872879068,3166387,3118847,28.2,646.9636363636362,1.8949041920649623,64,15.333333333333334,8,28.2,21.181818181818183,3.4739910187857643,21.18181818181818,BENIGN
2,898.1484658265952,635.1290413448779,99109858,99092291,488.00000000000006,403388.8991596637,0.2219759007222066,2910,135.72727272727272,85,488.0,266.57142857142856,0.3531434784216924,266.57142857142856,BENIGN
0,0.0,72.16878364870321,31767,31759,159.0,5208.333333333333,62.95841596625429,159,34.0,17,159.0,96.5,125.9168319325086,96.5,BENIGN
1,654.3116759089427,520.4066901841345,71589065,10004766,412.5384615384617,270823.12318840576,0.1536547516020777,1460,55.54545454545455,25,412.5384615384616,248.91666666666663,0.3352467307681697,248.91666666666663,BENIGN
0,0.0,90.50966799187808,30559,30559,185.0,8192.0,32.72358388690729,185,57.0,28,185.0,121.0,65.44716777381458,121.0,BENIGN
1,657.5158207567742,557.9710096582506,2053686,1795258,647.3636363636364,311331.6476190476,4.869293553152722,1460,89.3,42,647.3636363636364,381.6190476190476,10.225516461620716,381.6190476190477,BENIGN
0,0.0,56.0029761113937,60289,60283,137.0,3136.333333333333,33.17354741329264,137,40.0,20,137.0,88.5,66.34709482658528,88.5,BENIGN
0,187.35013058060943,173.8474798107788,115624252,9999499,50.07142857142856,30222.94623655914,0.1470279781788339,701,41.35294117647059,22,50.07142857142857,45.29032258064516,0.2681098425614031,45.29032258064517,BENIGN
0,0.0,77.45966692414834,61508,59469,188.0,6000.0,65.03219093451258,188,38.0,25,188.0,88.0,97.54828640176888,88.0,BENIGN
0,0.0,35.795716689756794,163,156,96.0,1281.3333333333333,12269.938650306747,96,34.0,17,96.0,65.0,24539.87730061349,65.0,BENIGN
0,0.0,0.4879500364742666,14874706,10063499,0.0,0.2380952380952381,0.2689128780091519,1,0.5,0,0.0,0.2857142857142857,0.4705975365160159,0.2857142857142857,BENIGN
0,0.0,0.0,6104800,6031394,0.0,0.0,0.6552221202987812,0,0.0,0,0.0,0.0,0.982833180448172,0.0,BENIGN
0,0.0,113.1370849898476,102697,102697,204.0,12800.0,9.737382786254711,204,44.0,22,204.0,124.0,19.474765572509423,124.0,BENIGN
0,64.0,73.1581240267348,69381,66341,32.0,5352.111111111111,72.06583935083093,195,39.0,21,32.0,35.888888888888886,129.71851083149565,35.888888888888886,Botnet
0,64.0,72.88651757660291,66081,63422,32.0,5312.444444444444,75.66471451703212,194,38.8,21,32.0,35.77777777777778,136.19648613065783,35.77777777777778,Botnet
0,64.0,73.1581240267348,68145,65209,32.0,5352.111111111111,73.37295472888694,195,39.0,21,32.0,35.888888888888886,132.07131851199648,35.888888888888886,Botnet
